X,Y,ObjectId,AQSID,CountryCode,DataSource,EPARegion,Elevation,GMTOffset,Latitude,LocalTimeString,Longitude,OZONE,OZONEPM_AQI,OZONEPM_AQI_LABEL,OZONEPM_AQI_SORT,OZONE_AQI,OZONE_AQI_LABEL,OZONE_AQI_SORT,OZONE_Measured,OZONE_Unit,PM10,PM10_AQI,PM10_AQI_LABEL,PM10_AQI_SORT,PM10_Measured,PM10_Unit,PM25,PM25_AQI,PM25_AQI_LABEL,PM25_AQI_SORT,PM25_Measured,PM25_Unit,PM_AQI,PM_AQI_LABEL,PM_AQI_SORT,ReportingArea_PipeDelimited,SiteName,StateName,Status
-9720262.0888,4625127.5253,277719541,180510012,US,Indiana Dept. of Environmental Management,R5,111,-6,38.3228,Fri 08/18/2023 02:00 AM CDT,-87.3186,,,ND,-999,,ND,-999,0,,,,ND,-999,0,,,,ND,-999,0,,,ND,-999,,OAKLANDCITY,IN,Inactive
-13434066.9844,4607979.8217,277719542,060090001,US,California Air Resources Board,R9,300.1,-8,38.20185,Fri 08/18/2023 12:00 AM PDT,-120.680277,,35,35,35,35,35,35,1,,,28.0,28,28,1,,,23,23,23,1,,28,28,28,Calaveras County,San Andreas,CA,Active
-13602495.7117,4440765.9024,277719543,060870003,US,Monterey Bay Unified APCD,R9,0,-8,37.011902,Fri 08/18/2023 12:00 AM PDT,-122.193298,,,ND,-999,,ND,-999,1,,,,ND,-999,0,,,,ND,-999,0,,,ND,-999,Salinas|Davenport,Davenport AMS,CA,Inactive
-9570143.8593,4067674.128,277719544,010499991,US,EPA Office of Atmospheric Protection,R3,349.2,-6,34.289001,Fri 08/18/2023 02:00 AM CDT,-85.970065,,21,21,21,21,21,21,1,,,,ND,-999,0,,,,ND,-999,0,,,ND,-999,,Sand Mountain,AL,Active
-9075944.8761,4291804.8917,277719545,370270003,US,North Carolina DEQ - Division of Air Quality,R4,366,-5,35.9359,Fri 08/18/2023 03:00 AM EDT,-81.5306,4,3,3,3,3,3,3,1,PPB,,,ND,-999,0,,,,ND,-999,0,,,ND,-999,Catawba County|Caldwell County,LENOIR,NC,Active
15082827.7549,4153302.8648,277719546,027321010,,Japan Ministry of Environment,,0,9,34.922122,Fri 08/18/2023 04:00 PM JST,135.491347,,,ND,-999,,ND,-999,0,,,,ND,-999,0,,,,ND,-999,0,,,ND,-999,,JPN Site 027321010,,Active
-13019326.184,5897821.5295,277719547,160570005,US,Idaho Department of Environmental Quality,R10,0,-8,46.728199,Fri 08/18/2023 12:00 AM PDT,-116.954597,,58,58,58,,ND,-999,0,,,,ND,-999,0,,15,58,58,58,1,UG/M3,58,58,58,Moscow,Moscow,ID,Active
14658311.656,3923287.3446,277719548,044201360,,Japan Ministry of Environment,,0,9,33.210572,Fri 08/18/2023 04:00 PM JST,131.677854,,,ND,-999,,ND,-999,0,,,,ND,-999,0,,,,ND,-999,0,,,ND,-999,,JPN Site 044201360,,Active
-8154675.9022,5228295.5355,277719549,250030006,US,Massachusetts Dept. of Environmental Protection,R1,0,-5,42.4478,Fri 08/18/2023 03:00 AM EDT,-73.2547,,,ND,-999,,ND,-999,0,,,,ND,-999,0,,,,ND,-999,1,,,ND,-999,Pittsfield,PITTSFIELD,MA,Inactive
-7899603.5417,5197183.1515,277719550,840250212005,US,Massachusetts Dept. of Environmental Protection,R1,0,-5,42.241229,Fri 08/18/2023 03:00 AM EDT,-70.963346,,21,21,21,21,21,21,1,,,,ND,-999,0,,,9,9,9,1,,9,9,9,Weymouth,WeymouthFR,MA,Active
-6966685.4284,5842487.7908,277719551,000020401,CA,Canada-Prince Edward Island1,CA,15.3,-4,46.3864,Fri 08/18/2023 04:00 AM ADT,-62.5828,,13,13,13,,ND,-999,1,,,,ND,-999,0,,3.6,13,13,13,1,UG/M3,13,13,13,,SOUTHAMPTON,CC,Active
-13672069.9482,4636622.3393,277719552,060970004,US,San Francisco Bay Area AQMD,R9,0,-8,38.403765,Fri 08/18/2023 12:00 AM PDT,-122.818294,,19,19,19,19,19,19,1,,,,ND,-999,0,,,0,0,0,1,,0,0,0,Santa Rosa,Sebastopol,CA,Active
14652282.4811,3920589.9002,277719553,044201010,,Japan Ministry of Environment,,0,9,33.190296,Fri 08/18/2023 04:00 PM JST,131.623693,,,ND,-999,,ND,-999,0,,,,ND,-999,0,,,,ND,-999,0,,,ND,-999,,JPN Site 044201010,,Active
-13158233.2049,6156401.3576,277719554,TT1010003,US,Confederated Tribes of Colville Reservation,R10,0,-8,48.29696,Fri 08/18/2023 12:00 AM PDT,-118.20242,,,ND,-999,,ND,-999,0,,,,ND,-999,0,,,,ND,-999,1,,,ND,-999,,Inchelium,,Active
-8848034.9166,5472301.2009,277719555,124000065101,CA,Ontario Ministry of the Environment,CA,0,-5,44.044306,Fri 08/18/2023 03:00 AM EDT,-79.48325,,31,31,31,31,31,31,1,,,,ND,-999,0,,,30,30,30,1,,30,30,30,,Newmarket,,Active
